21653307.22	5170346.33	0.207065
21653379.37	5170326.32	0.170958
21653451.52	5170306.31	0.145761
21653523.66	5170286.3	0.192304
21653595.81	5170266.29	0.223908
21653667.96	5170246.29	0.257111
21653740.1	5170226.28	0.292832
21653812.25	5170206.27	0.283564
21653884.4	5170186.26	0.228388
21653956.54	5170166.25	0.263522
21654028.69	5170146.25	0.259877
21654100.84	5170126.24	0.288637
21654172.98	5170106.23	0.28657
21654245.13	5170086.22	0.214647
21654317.28	5170066.21	0.152446
21654389.42	5170046.21	0.104071
21654461.57	5170026.2	0.0830237
21654533.72	5170006.19	0.09286
21654605.86	5169986.18	0.11348
21654678.01	5169966.17	0.144822
21654750.16	5169946.17	0.158351
21654822.31	5169926.16	0.15222
21654894.45	5169906.15	0.114719
21654966.6	5169886.14	0.113583
21655038.75	5169866.13	0.111607
21655110.89	5169846.13	0.12317
21655183.04	5169826.12	0.131569
21655255.19	5169806.11	0.170988
21655327.33	5169786.1	0.230363
21655399.48	5169766.09	0.242578
21653254.7	5170437.11	0.190649
21653326.85	5170417.1	0.166644
21653399	5170397.09	0.145058
21653471.14	5170377.08	0.140914
21653543.29	5170357.07	0.167949
21653615.44	5170337.07	0.189658
21653687.58	5170317.06	0.204152
21653759.73	5170297.05	0.239224
21653831.88	5170277.04	0.259825
21653904.02	5170257.03	0.262128
21653976.17	5170237.03	0.249874
21654048.32	5170217.02	0.254393
21654120.46	5170197.01	0.266117
21654192.61	5170177	0.268877
21654264.76	5170156.99	0.259146
21654336.9	5170136.98	0.192705
21654409.05	5170116.98	0.0973213
21654481.2	5170096.97	0.0636388
21654553.34	5170076.96	0.0965792
21654625.49	5170056.95	0.105581
21654697.64	5170036.94	0.113388
21654769.78	5170016.94	0.138006
21654841.93	5169996.93	0.13416
21654914.08	5169976.92	0.121193
21654986.23	5169956.91	0.119575
21655058.37	5169936.9	0.120695
21655130.52	5169916.9	0.130111
21655202.66	5169896.89	0.127417
21655274.81	5169876.88	0.180885
21655346.96	5169856.87	0.252899
21655419.11	5169836.86	0.201479
21655491.25	5169816.86	0.20336
21655563.4	5169796.85	0.249977
21655635.55	5169776.84	0.26264
21655707.69	5169756.83	0.217176
21655779.84	5169736.82	0.133585
21655851.99	5169716.82	0.130569
21655924.13	5169696.81	0.152051
21655996.28	5169676.8	0.157863
21656068.43	5169656.79	0.163784
21656140.57	5169636.78	0.154313
21656212.72	5169616.78	0.172509
21656284.87	5169596.77	0.188132
21656357.01	5169576.76	0.214486
21656429.16	5169556.75	0.229206
21656501.31	5169536.74	0.241583
21656573.45	5169516.74	0.214118
21656645.6	5169496.73	0.16323
21656717.75	5169476.72	0.13528
21656789.89	5169456.71	0.153764
21656862.04	5169436.7	0.143958
21656934.19	5169416.69	0.103238
21657006.33	5169396.69	0.0965377
21657078.48	5169376.68	0.15169
21657150.63	5169356.67	0.253764
21657222.77	5169336.66	0.243686
21657294.92	5169316.65	0.210249
