RN	JH	CSRQ	JCDM	CW	YQMC	YQXH	JSXH	ZRYL	JDDS1	JDDS2	YCZMC	XCH	XFCH	DYCZMC	DXCH	DXFCH	HD	YXHD	ZRL	ZRBFS	TZBZ	BZ	HZJH	CH
11483	B1-1-P50	2018/9/11	5WW	S22～S22	FCP-II注聚剖面测井仪	9#	1	11.8	882.3	882.8	S2	2					0.5	0	10.12	8.43			B1-1-P50	
11484	B1-1-P50	2018/9/11	5WW	S22	FCP-II注聚剖面测井仪	9#	2	11.8	882.8	884.71	S2	2					1.9	0	6.18	5.15			B1-1-P50	
11485	B1-1-P50	2018/9/11	5WW		FCP-II注聚剖面测井仪	9#	3	11.8	884.71	885.61	S2	2					0.9	0	6.88	5.73			B1-1-P50	
11486	B1-1-P50	2018/9/11	5WW		FCP-II注聚剖面测井仪	9#	4	11.8	885.61	887.4	S2	2					1.8	0	2.95	2.46			B1-1-P50	
11487	B1-1-P50	2018/9/11	5WW	S25-8～S25-8	FCP-II注聚剖面测井仪	9#	5	11.8	896.6	897.4	S2	5-8		S2	5-8		0.8	0.4	10.07	8.39			B1-1-P50	
11488	B1-1-P50	2018/9/11	5WW	S25-8	FCP-II注聚剖面测井仪	9#	6	11.8	897.4	898.86	S2	5-8					1.5	0	11.03	9.19			B1-1-P50	
11489	B1-1-P50	2018/9/11	5WW		FCP-II注聚剖面测井仪	9#	7	11.8	898.86	901.63	S2	5-8					2.8	0	56.57	47.15			B1-1-P50	
11490	B1-1-P50	2018/9/11	5WW		FCP-II注聚剖面测井仪	9#	8	11.8	901.63	902.36	S2	5-8					0.7	0	11.96	9.97			B1-1-P50	
11491	B1-1-P50	2018/9/11	5WW		FCP-II注聚剖面测井仪	9#	9	11.8	902.36	905.2	S2	5-8					2.8	0	4.24	3.53			B1-1-P50	
12077	B1-1-P50	2019/9/5	5WW		FCP-II注聚剖面测井仪		5	10.7	901.54	905.2	S2	5-8					3.7	0	62.69	62.69			B1-1-P50	
12078	B1-1-P50	2019/9/5	5WW		FCP-II注聚剖面测井仪		2	10.7	884.87	887.4	S2	2					2.5	0	17.74	17.74			B1-1-P50	
12079	B1-1-P50	2019/9/5	5WW	S22	FCP-II注聚剖面测井仪		1	10.7	882.3	884.87	S2	2					2.6	0	3	3			B1-1-P50	
12080	B1-1-P50	2019/9/5	5WW	S25-8	FCP-II注聚剖面测井仪		4	10.7	897.4	901.54	S2	5-8					4.1	0	16.57	16.57			B1-1-P50	
12275	B1-1-P50	2019/11/21	5WW	S22	FCP-II注聚剖面测井仪	9#	1	10.5	882.3	887.4	S2	2					5.1	3.9	11.69	9.74			B1-1-P50	
12276	B1-1-P50	2019/11/21	5WW		FCP-II注聚剖面测井仪	9#	8	10.5	904.38	905.2	S2	5-8					0.8	0	24.19	20.16			B1-1-P50	
12277	B1-1-P50	2019/11/21	5WW		FCP-II注聚剖面测井仪	9#	7	10.5	902.63	904.38	S2	5-8					1.8	0	30.17	25.14			B1-1-P50	
12278	B1-1-P50	2019/11/21	5WW		FCP-II注聚剖面测井仪	9#	6	10.5	900.26	902.63	S2	5-8					2.4	0	28.91	24.09			B1-1-P50	
12280	B1-1-P50	2019/11/21	5WW	S24	FCP-II注聚剖面测井仪	9#	4	10.5	893.4	894.4	S2	4					1	0.6	14.18	11.82			B1-1-P50	
12281	B1-1-P50	2019/11/21	5WW	S24	FCP-II注聚剖面测井仪	9#	3	10.5	891	892.6	S2	4					1.6	1.6	10.86	9.05			B1-1-P50	
953	B1-1-P52	2002/4/22	502	P16-7			1	8.2	984.6	990.7	P1	6-7					6.1	5.7	6.3	100	0		B1-1-P52	
954	B1-1-P52	2003/9/18	502	S212	相关流量计		2	4.3	912.4	913.8	S2	12					1.4	0.1	19	10.9	0		B1-1-P52	
956	B1-1-P52	2003/9/18	502	S28-11	相关流量计		1	4.3	899.3	909.2	S2	8-11					9.9	0	116	66.3	0		B1-1-P52	
957	B1-1-P52	2003/9/18	502	S33-6	相关流量计		4	4.3	935.1	941.9	S3	3-6					6.8	1	40	22.8	0		B1-1-P52	
958	B1-1-P52	2001/10/31	502	葡Ⅰ1-2	同位素测井仪		1	9	964.4	970.4	葡	1-2					6	5.8	3.78	60.04	0		B1-1-P52	
959	B1-1-P52	2001/10/31	502	葡Ⅰ6-7	同位素测井仪		2	9	984.6	990.7	葡	6-7					6.1	5.7	2.52	39.96	0		B1-1-P52	
2343	B1-1-P52	2006/3/18	5WW	S28-11			2	8.3	902	905.9	S2	8-11					3.9	0	34.94	25.31	0		B1-1-P52	
2344	B1-1-P52	2006/3/18	5WW	S28-11			3	8.3	905.9	909.2	S2	8-11					3.3	0	11.14	8.07	0		B1-1-P52	
2346	B1-1-P52	2006/3/18	5WW	S3			7	8.3	936.5	941.9	S3						5.4	0	68.96	49.95	0		B1-1-P52	
2772	B1-1-P52	2005/8/25	5WW	S28-11		PL2000	2	7.4	902	905.9	S2	8-11					3.9	0	48.2	34.8	0		B1-1-P52	
2773	B1-1-P52	2005/8/25	5WW	S212		PL2000	4	7.4	912.4	913.8	S2	12					1.4	0.1	4.1	3	0		B1-1-P52	
2774	B1-1-P52	2005/8/25	5WW	S3		PL2000	7	7.4	936.5	941.9	S3						5.4	0	50.5	36.4	0		B1-1-P52	
2775	B1-1-P52	2005/8/25	5WW	S33-6		PL2000	6	7.4	935.1	936.5	S3	3-6					1.4	1	17	12.2	0		B1-1-P52	
2777	B1-1-P52	2005/8/25	5WW	S28-11		PL2000	3	7.4	905.9	909.2	S2	8-11					3.3	0	18.9	13.6	0		B1-1-P52	
9734	B1-1-P52	2016/6/2	5WW	S28-11	FCP-II注聚剖面测井仪	9#	3	8	899.3	900.55	S2	8-11					1.3	0	0.47	0.54			B1-1-P52	
9735	B1-1-P52	2016/6/2	5WW		FCP-II注聚剖面测井仪	9#	4	8	900.55	902.6	S2	8-11					2.1	0	8.41	9.67			B1-1-P52	
9736	B1-1-P52	2016/6/2	5WW		FCP-II注聚剖面测井仪	9#	5	8	902.6	903.77	S2	8-11					1.2	0	9.4	10.81			B1-1-P52	
9737	B1-1-P52	2016/6/2	5WW		FCP-II注聚剖面测井仪	9#	6	8	903.77	905.25	S2	8-11					1.5	0	4.94	5.68			B1-1-P52	
9738	B1-1-P52	2016/6/2	5WW		FCP-II注聚剖面测井仪	9#	7	8	905.25	906.95	S2	8-11					1.7	0	8.81	10.13			B1-1-P52	
9751	B1-1-P52	2016/6/2	5WW		FCP-II注聚剖面测井仪	9#	8	8	906.95	909.2	S2	8-11					2.3	0	49.9	57.34			B1-1-P52	
9753	B1-1-P52	2016/6/2	5WW		FCP-II注聚剖面测井仪	9#	2	8	883.87	885.7	S2	2-3					1.8	0	5.07	5.83			B1-1-P52	
10317	B1-1-P52	2017/2/28	5WW	S28-11	FCP-II注聚剖面测井仪	9#	1	8.7	899.3	899.86	S2	8-11					0.6	0	5.45	6.81			B1-1-P52	
10318	B1-1-P52	2017/2/28	5WW		FCP-II注聚剖面测井仪	9#	2	8.7	899.86	900.96	S2	8-11					1.1	0	34.3	42.88			B1-1-P52	
10319	B1-1-P52	2017/2/28	5WW		FCP-II注聚剖面测井仪	9#	3	8.7	900.96	909.2	S2	8-11					8.2	0	40.25	50.31			B1-1-P52	
10611	B1-1-P52	2017/5/17	5WW		FCP-II注聚剖面测井仪	9#	3	8.9	902.24	903.26	S2	8-11					1	0	26.04	26.04			B1-1-P52	
10612	B1-1-P52	2017/5/17	5WW	S28-11	FCP-II注聚剖面测井仪	9#	4	8.9	903.26	905.4	S2	8-11					2.1	0	28.27	28.27			B1-1-P52	
10613	B1-1-P52	2017/5/17	5WW	S28-11～S28-11	FCP-II注聚剖面测井仪	9#	5	8.9	905.4	907.2							1.8	1	39.45	39.45			B1-1-P52	
10614	B1-1-P52	2017/5/17	5WW	S28-11	FCP-II注聚剖面测井仪	9#	6	8.9	907.2	909.2							2	1.6	2.34	2.34			B1-1-P52	
10616	B1-1-P52	2017/5/17	5WW		FCP-II注聚剖面测井仪	9#	2	8.9	901.29	902.24	S2	8-11					1	0	3.9	3.9			B1-1-P52	
11232	B1-1-P52	2018/5/12	5WW	S22-3～S22-3	FCP-II注聚剖面测井仪	9#	1	10.2	882.4	883.7	S2	2-3					1.3	0.4	6.83	6.9			B1-1-P52	
11234	B1-1-P52	2018/5/12	5WW	S28-11	FCP-II注聚剖面测井仪	9#	3	10.2	899.3	900.71	S2	8-11					1.4	0	11.57	11.69			B1-1-P52	
11235	B1-1-P52	2018/5/12	5WW		FCP-II注聚剖面测井仪	9#	4	10.2	900.71	902.89	S2	8-11					2.2	0	48.44	48.93			B1-1-P52	
11236	B1-1-P52	2018/5/12	5WW		FCP-II注聚剖面测井仪	9#	5	10.2	902.89	904.46	S2	8-11					1.6	0	27.84	28.12			B1-1-P52	
11237	B1-1-P52	2018/5/12	5WW	S28-11	FCP-II注聚剖面测井仪	9#	6	10.2	904.46	905.4	S2	8-11					0.9	0	4.32	4.36			B1-1-P52	
11789	B1-1-P52	2019/3/28	5WW	S210-11	FCP-II注聚剖面测井仪	9#	6	9.6	907.2	909.2	S2	10-11					2	1.6	4.82	4.82			B1-1-P52	
11790	B1-1-P52	2019/3/28	5WW	S210-11～S210-11	FCP-II注聚剖面测井仪	9#	5	9.6	905.4	907.2	S2	10-11					1.8	1	8.17	8.17			B1-1-P52	
11791	B1-1-P52	2019/3/28	5WW	S210-11	FCP-II注聚剖面测井仪	9#	4	9.6	902.99	905.4	S2	8-11					2.4	0	30.91	30.91			B1-1-P52	
11792	B1-1-P52	2019/3/28	5WW	S28-11	FCP-II注聚剖面测井仪	9#	3	9.6	899.3	902.99	S2	8-11					3.7	0	47.75	47.75			B1-1-P52	
11794	B1-1-P52	2019/3/28	5WW	S22-3～S22-3	FCP-II注聚剖面测井仪	9#	1	9.6	882.4	885.1	S2	2-3		S2	2-3		2.7	0.7	8.35	8.35			B1-1-P52	
12233	B1-1-P52	2019/9/5	5WW	S210-11	FCP-II注聚剖面测井仪	QY-WY-38-6	8	10.2	907.2	909.2	S2	10-11					2	1.6	39.41	39.41			B1-1-P52	
12234	B1-1-P52	2019/9/5	5WW	S210-11～S210-11	FCP-II注聚剖面测井仪	QY-WY-38-6	7	10.2	905.4	907.2	S2	10-11					1.8	1	26.55	26.55			B1-1-P52	
12235	B1-1-P52	2019/9/5	5WW	S210-11	FCP-II注聚剖面测井仪	QY-WY-38-6	6	10.2	904.76	905.4	S2	8-11					0.6	0	16.48	16.48			B1-1-P52	
12236	B1-1-P52	2019/9/5	5WW		FCP-II注聚剖面测井仪	QY-WY-38-6	5	10.2	903.54	904.76	S2	8-11					1.2	0	7.08	7.08			B1-1-P52	
12237	B1-1-P52	2019/9/5	5WW		FCP-II注聚剖面测井仪	QY-WY-38-6	4	10.2	902.04	903.54	S2	8-11					1.5	0	1.44	1.44			B1-1-P52	
12239	B1-1-P52	2019/9/5	5WW	S22-3～S22-3	FCP-II注聚剖面测井仪	QY-WY-38-6	2	10.2	883.7	885.7	S2	2-3		S2	2-3		2	0.9	9.04	9.04			B1-1-P52	
12240	B1-1-P52	2019/11/21	5WW	S22-3～S22-3	FCP-II注聚剖面测井仪	9#	2	9.6	883.7	885.1	S2	2-3					1.4	0.3	14.52	14.52			B1-1-P52	
12242	B1-1-P52	2019/11/21	5WW	S210-11～S210-11	FCP-II注聚剖面测井仪	9#	7	9.6	905.4	909.2	S2	10-11		S2	10-11		3.8	2.6	36.68	36.68			B1-1-P52	
12243	B1-1-P52	2019/11/21	5WW	S210-11	FCP-II注聚剖面测井仪	9#	6	9.6	903.41	905.4	S2	8-11					2	0	22.16	22.16			B1-1-P52	
12244	B1-1-P52	2019/11/21	5WW		FCP-II注聚剖面测井仪	9#	5	9.6	901.81	903.41	S2	8-11					1.6	0	26.64	26.64			B1-1-P52	
12564	B1-1-P52	2020/4/3	5WW	S22-3～S22-3	FCP-II注聚剖面测井仪	MP38B	2	8.6	883.7	885.1	S2	2-3					1.4	0.3	10.79	10.79			B1-1-P52	
12566	B1-1-P52	2020/4/3	5WW	S210-11	FCP-II注聚剖面测井仪	MP38B	8	8.6	907.2	909.2	S2	10-11					2	1.6	5.34	5.34			B1-1-P52	
12586	B1-1-P52	2020/4/3	5WW	S210-11～S210-11	FCP-II注聚剖面测井仪	MP38B	7	8.6	905.4	907.2	S2	10-11					1.8	1	11.09	11.09			B1-1-P52	
12587	B1-1-P52	2020/4/3	5WW	S210-11	FCP-II注聚剖面测井仪	MP38B	6	8.6	903.95	905.4	S2	8-11					1.5	0	44.02	44.02			B1-1-P52	
12588	B1-1-P52	2020/4/3	5WW		FCP-II注聚剖面测井仪	MP38B	5	8.6	902.15	903.95	S2	8-11					1.8	0	28.76	28.76			B1-1-P52	
961	B1-1-P54	2002/4/23	502	P11-2			1	9.38	969.7	977	P1	1-2					7.3	5.8	5.17	63.79	0		B1-1-P54	
962	B1-1-P54	2003/9/14	502	SⅡ12-13			1	5.55	917.8	921.2	S	12-13					3.4	3.3	1.5	22.45	0		B1-1-P54	
963	B1-1-P54	2003/9/14	502	SⅢ5+6			2	5.55	945.6	949.7	S	5+6		S	5+6		4.1	3.1	2.46	36.76	0		B1-1-P54	
964	B1-1-P54	2003/9/14	502	SⅢ9-10			3	5.55	962.1	964.4	S	9-10					2.3	1.7	2.73	40.78	0		B1-1-P54	
2993	B1-1-P54	2002/4/23	502	P1*3B			2	9.38	982.8	983.2	P1	*3B					0.4	0	2.93	36.21	0		B1-1-P54	
11430	B1-1-P54	2018/8/23	5WW	S29-10	FCP-II注聚剖面测井仪	9#	3	10.6	910.8	911.81							1	0	5.1	12.74			B1-1-P54	
11431	B1-1-P54	2018/8/23	5WW		FCP-II注聚剖面测井仪	9#	4	10.6	911.81	914.2							2.4	0	21.52	53.81			B1-1-P54	
11432	B1-1-P54	2018/8/23	5WW	S22	FCP-II注聚剖面测井仪	9#	1	10.6	884.3	887.8							3.5	1.6	8.94	22.34			B1-1-P54	
11433	B1-1-P54	2018/8/23	5WW	S23-4	FCP-II注聚剖面测井仪	9#	2	10.6	894.1	896.4							2.3	0.8	4.44	11.11			B1-1-P54	
12209	B1-1-P54	2019/9/18	5WW	S29-10	FCP-II注聚剖面测井仪	9#	7	9.6	911.8	914.2							2.4	2.4	22.73	34.98			B1-1-P54	
12227	B1-1-P54	2019/9/18	5WW	S28\1～S28\1	FCP-II注聚剖面测井仪	9#	5	9.6	904.2	905.5							1.3	0.8	12.23	18.81			B1-1-P54	
12228	B1-1-P54	2019/9/18	5WW	S23-4～S23-4	FCP-II注聚剖面测井仪	9#	4	9.6	894.7	896.4							1.7	1	15.74	24.22			B1-1-P54	
12230	B1-1-P54	2019/9/18	5WW		FCP-II注聚剖面测井仪	9#	2	9.6	886.39	887.8							1.4	0	10.04	15.44			B1-1-P54	
12231	B1-1-P54	2019/9/18	5WW	S22	FCP-II注聚剖面测井仪	9#	1	9.6	884.3	886.39							2.1	0	4.26	6.55			B1-1-P54	
12351	B1-1-P54	2019/11/21	5WW	S29-10～S29-10	FCP-II注聚剖面测井仪	XG-II	3	9.4	910.8	911.8							1	1	38.56	59.32			B1-1-P54	
12352	B1-1-P54	2019/11/21	5WW	S23-4～S23-4	FCP-II注聚剖面测井仪	XG-II	2	9.4	894.7	896.4							1.7	1	8.6	13.23			B1-1-P54	
12353	B1-1-P54	2019/11/21	5WW	S23-4～S23-4	FCP-II注聚剖面测井仪	XG-II	1	9.4	894.1	894.7							0.6	0.2	17.84	27.45			B1-1-P54	
965	B1-1-P56	2002/6/29	502	P12			1	13.7	982.8	988.2	P1	2					5.4	4.8	3.17	50.67	0		B1-1-P56	
966	B1-1-P56	2002/6/29	502	P14A-P14B			2	13.7	994	997.9	P1	4A		P1	4B		3.4	1.2	1.54	24.67	0		B1-1-P56	
967	B1-1-P56	2002/6/29	502	P17			3	13.7	1006.4	1008.7	P1	7					2.3	0.5	1.54	24.67	0		B1-1-P56	
968	B1-1-P56	2003/9/10	502	SⅡ15-SⅢ1			1	7.08	939.9	945.2	S	15		S	1		5.3	3.5	0.26	4.48	0		B1-1-P56	
969	B1-1-P56	2003/9/10	502	SⅢ3			2	7.08	948.5	953.2	S	3		S	3		1.7	0.7	2.05	34.77	0		B1-1-P56	
970	B1-1-P56	2003/9/10	502	SⅢ5-7			3	7.08	956	961.7	S	5-7					5.7	3.4	3.58	60.75	0		B1-1-P56	
971	B1-1-P56	2003/4/10	502	萨Ⅱ5-7			1	2.7	956	961.7	萨	5-7					5.7	3.4	2.82	66.34	0		B1-1-P56	
972	B1-1-P56	2003/4/10	502				2	2.7	959.64	963.66							0	0	0.82	19.31	0		B1-1-P56	
973	B1-1-P56	2003/4/10	502				3	2.7	967.42	968.84							0	0	0.61	14.36	0		B1-1-P56	
11389	B1-1-P56	2018/8/20	5WW		FCP-II注聚剖面测井仪	9#	2	11.5	913.61	915.88	S2	7-8					2.3	0	40.25	57.49			B1-1-P56	
11390	B1-1-P56	2018/8/20	5WW	S27-8	FCP-II注聚剖面测井仪	9#	3	11.5	915.88	917	S2	7-8					1.1	0	12.5	17.86			B1-1-P56	
11391	B1-1-P56	2018/8/20	5WW	S27-8	FCP-II注聚剖面测井仪	9#	4	11.5	917	918.2	S2	7-8					1.2	1	17.25	24.65			B1-1-P56	
12148	B1-1-P56	2019/9/3	5WW	S27-8	FCP-II注聚剖面测井仪	9#	3	11.4	917	918.2	S2	7-8					1.2	1	41.15	58.79			B1-1-P56	
12149	B1-1-P56	2019/9/3	5WW	S27-8～S27-8	FCP-II注聚剖面测井仪	9#	2	11.4	912.4	917	S2	7-8					4.6	3	22.81	32.58			B1-1-P56	
12150	B1-1-P56	2019/9/3	5WW	S24	FCP-II注聚剖面测井仪	9#	1	11.4	907	907.6	S2	4					0.6	0.4	6.04	8.63			B1-1-P56	
974	B1-1-P58	2002/4/23	502	P12A			1	6.52	992	998.2	P1	2A					6.2	5.8	2.3	46.05	0		B1-1-P58	
975	B1-1-P58	2002/4/23	502	P13B			2	6.52	1001	1001.5	P1	3B					0.5	0	1.38	27.63	0		B1-1-P58	
976	B1-1-P58	2002/4/23	502	P14A			3	6.52	1003.8	1005.6	P1	4A					1.8	0.4	1.32	26.32	0		B1-1-P58	
977	B1-1-P58	2003/9/13	502	S34-6			1	8.77	964.2	970.4	S3	4-6					6.2	4.8	6.5	100	0		B1-1-P58	
3510	B1-1-P58	2007/4/5	5WW	S2			1	10.44	935.6	947	S2	10-14					11.4	0	10	8	0		B1-1-P58	
3511	B1-1-P58	2007/4/5	5WW	S34-6			2	10.44	964.2	970.4							6.2	0	119	92	0		B1-1-P58	
4065	B1-1-P58	2008/4/7	5WW	S210-14			1	12.3	935.3	947	S2	10-14					11.7	6.5	43	33	0		B1-1-P58	
4066	B1-1-P58	2008/4/7	5WW	S34-6			2	12.3	964.2	970.4							6.2	0	88	67	0		B1-1-P58	
8649	B1-1-P58	2015/11/17	5WW	S24	FCP-II注聚剖面测井仪	9#	2	8.3	916.4	919							2.6	2.5	14.32	14.92			B1-1-P58	
8650	B1-1-P58	2015/11/17	5WW	S28	FCP-II注聚剖面测井仪	9#	3	8.3	925.7	929							3.3	2.4	48.99	51.03			B1-1-P58	
8651	B1-1-P58	2015/11/17	5WW	S28～S29	FCP-II注聚剖面测井仪	9#	4	8.3	930.1	933							2.9	2.6	32.69	34.05			B1-1-P58	
9090	B1-1-P58	2015/8/1	502	S21-2	同位素五参数组合测井仪	MP38B-YCGWY+4	1	7.6	905.8	912.6	S2	1-2					6.8	5.4	47.21	37.47			B1-1-P58	
9092	B1-1-P58	2015/8/1	502	S23-4	同位素五参数组合测井仪	MP38B-YCGWY+4	3	7.6	916.4	919	S2	3-4					2.6	2.5	7.62	6.05			B1-1-P58	
9093	B1-1-P58	2015/8/1	502	S25+6	同位素五参数组合测井仪	MP38B-YCGWY+4	4	7.6	920.2	922.6	S2	5+6					2.4	1.7	14.63	11.61			B1-1-P58	
9094	B1-1-P58	2015/8/1	502	S27	同位素五参数组合测井仪	MP38B-YCGWY+4	5	7.6	923.9	924.4	S2	7					0.5	0	15.11	11.99			B1-1-P58	
9095	B1-1-P58	2015/8/1	502	S28	同位素五参数组合测井仪	MP38B-YCGWY+4	6	7.6	925.7	927.85	S2	8					2.2	0	20.63	16.37			B1-1-P58	
9096	B1-1-P58	2015/8/1	502		同位素五参数组合测井仪	MP38B-YCGWY+4	7	7.6	927.85	929	S2	8					1.2	0	20.8	16.51			B1-1-P58	
9777	B1-1-P58	2016/11/7	5WW		FCP-II注聚剖面测井仪	OY-WY-38-6	3	10	909.46	911.73							2.3	0	15.48	11.91			B1-1-P58	
9778	B1-1-P58	2016/11/7	5WW		FCP-II注聚剖面测井仪	OY-WY-38-6	4	10	911.73	912.6							0.9	0	11.93	9.18			B1-1-P58	
9780	B1-1-P58	2016/11/7	5WW	S24	FCP-II注聚剖面测井仪	OY-WY-38-6	6	10	916.4	917.46							1.1	0	10.71	8.24			B1-1-P58	
9782	B1-1-P58	2016/11/7	5WW	S25+6～S25+6	FCP-II注聚剖面测井仪	OY-WY-38-6	8	10	920.2	922.6							2.4	1.7	47.49	36.52			B1-1-P58	
9783	B1-1-P58	2016/11/7	5WW	S28	FCP-II注聚剖面测井仪	OY-WY-38-6	9	10	925.7	927.13							1.4	0	4.46	3.43			B1-1-P58	
9784	B1-1-P58	2016/11/7	5WW		FCP-II注聚剖面测井仪	OY-WY-38-6	10	10	927.13	927.61							0.5	0	0.69	0.53			B1-1-P58	
9785	B1-1-P58	2016/11/7	5WW		FCP-II注聚剖面测井仪	OY-WY-38-6	11	10	927.61	928.23							0.6	0	0.87	0.67			B1-1-P58	
9786	B1-1-P58	2016/11/7	5WW		FCP-II注聚剖面测井仪	OY-WY-38-6	12	10	928.23	929							0.8	0	6.38	4.91			B1-1-P58	
9787	B1-1-P58	2016/11/7	5WW	S28	FCP-II注聚剖面测井仪	OY-WY-38-6	13	10	930.1	931.4							1.3	1.1	25.79	19.84			B1-1-P58	
9789	B1-1-P58	2016/11/7	5WW		FCP-II注聚剖面测井仪	OY-WY-38-6	2	10	907.93	909.46							1.5	0	6.2	4.77			B1-1-P58	
10361	B1-1-P58	2016/4/6	5WW	S28	FCP-II注聚剖面测井仪	SD-JYLG-I	1	9	925.7	927.64	S2	8					1.9	0	86.5	66.54			B1-1-P58	
10362	B1-1-P58	2016/4/6	5WW		FCP-II注聚剖面测井仪	SD-JYLG-I	2	9	927.64	929	S2	8					1.4	0	13.08	10.06			B1-1-P58	
10363	B1-1-P58	2016/4/6	5WW	S28	FCP-II注聚剖面测井仪	SD-JYLG-I	3	9	930.1	931.4	S2	8					1.3	1.1	24.86	19.12			B1-1-P58	
10364	B1-1-P58	2016/4/6	5WW	S29	FCP-II注聚剖面测井仪	SD-JYLG-I	4	9	931.9	933	S2	9					1.1	0.8	5.56	4.28			B1-1-P58	
10702	B1-1-P58	2017/5/17	5WW	S24	FCP-II注聚剖面测井仪	SD-JYLG-I	2	11	916.4	919	S2	4					2.6	2.5	42.34	32.57			B1-1-P58	
10703	B1-1-P58	2017/5/17	5WW	S25+6～S25+6	FCP-II注聚剖面测井仪	SD-JYLG-I	3	11	920.2	922.6	S2	5+6		S2	5+6		2.4	1.7	65.2	50.15			B1-1-P58	
10704	B1-1-P58	2017/5/17	5WW	S28	FCP-II注聚剖面测井仪	SD-JYLG-I	4	11	925.7	929	S2	8					3.3	2.4	14.38	11.06			B1-1-P58	
10705	B1-1-P58	2017/5/17	5WW	S28	FCP-II注聚剖面测井仪	SD-JYLG-I	5	11	930.1	931.4	S2	8					1.3	1.1	6.86	5.28			B1-1-P58	
10706	B1-1-P58	2017/5/17	5WW	S29～S29	FCP-II注聚剖面测井仪	SD-JYLG-I	6	11	931.9	933	S2	9		S2	9		1.1	1.5	1.22	0.94			B1-1-P58	
10941	B1-1-P58	2017/9/26	5WW		FCP-II注聚剖面测井仪	9#	3	11.7	909.23	911.55							2.3	0	15.87	12.21			B1-1-P58	
10942	B1-1-P58	2017/9/26	5WW		FCP-II注聚剖面测井仪	9#	4	11.7	911.55	912.6							1.1	0	7.75	5.96			B1-1-P58	
10943	B1-1-P58	2017/9/26	5WW	S23～S24	FCP-II注聚剖面测井仪	9#	5	11.7	915	916.4							1.4	1.4	9.76	7.51			B1-1-P58	
10944	B1-1-P58	2017/9/26	5WW	S24	FCP-II注聚剖面测井仪	9#	6	11.7	916.4	919							2.6	2.5	27.52	21.16			B1-1-P58	
10959	B1-1-P58	2017/9/26	5WW	S25+6～S25+6	FCP-II注聚剖面测井仪	9#	7	11.7	920.2	920.7							0.5	0	8.35	6.42			B1-1-P58	
10960	B1-1-P58	2017/9/26	5WW	S25+6	FCP-II注聚剖面测井仪	9#	8	11.7	920.7	922.6							1.9	1.7	19.12	14.71			B1-1-P58	
10962	B1-1-P58	2017/9/26	5WW		FCP-II注聚剖面测井仪	9#	10	11.7	927.43	929							1.6	0	10.8	8.31			B1-1-P58	
10964	B1-1-P58	2017/9/26	5WW	S21-2	FCP-II注聚剖面测井仪	9#	2	11.7	906	909.23							3.2	0	3.87	2.98			B1-1-P58	
10965	B1-1-P58	2017/9/26	5WW	S28	FCP-II注聚剖面测井仪	9#	11	11.7	930.1	931.4							1.3	1.1	26.96	20.74			B1-1-P58	
11207	B1-1-P58	2018/5/12	5WW	S25+6	FCP-II注聚剖面测井仪	9#	3	11.1	920.2	921							0.8	0	0.68	0.51			B1-1-P58	
11208	B1-1-P58	2018/5/12	5WW		FCP-II注聚剖面测井仪	9#	4	11.1	921	922.6							1.6	0	8.8	6.57			B1-1-P58	
11209	B1-1-P58	2018/5/12	5WW	S28	FCP-II注聚剖面测井仪	9#	5	11.1	925.7	927.3							1.6	0	5.36	4			B1-1-P58	
11210	B1-1-P58	2018/5/12	5WW		FCP-II注聚剖面测井仪	9#	6	11.1	927.3	929							1.7	0	8.27	6.17			B1-1-P58	
11211	B1-1-P58	2018/5/12	5WW	S28	FCP-II注聚剖面测井仪	9#	7	11.1	930.1	931.4							1.3	1.1	12.17	9.08			B1-1-P58	
11213	B1-1-P58	2018/5/12	5WW	S24	FCP-II注聚剖面测井仪	9#	2	11.1	916.4	919							2.6	2.5	7.87	5.87			B1-1-P58	
11218	B1-1-P58	2018/5/12	5WW	S210-12～S213-14	FCP-II注聚剖面测井仪	9#	8	11.1	935.3	947							11.7	8.7	90.85	67.8			B1-1-P58	
11879	B1-1-P58	2019/4/1	5WW		FCP-II注聚剖面测井仪		3	10.8	910.73	912.6	S2	1-2					1.9	0	19.83	15.02			B1-1-P58	
11881	B1-1-P58	2019/4/1	5WW	S24	FCP-II注聚剖面测井仪		5	10.8	916.4	919	S2	4					2.6	2.5	22.04	16.7			B1-1-P58	
11883	B1-1-P58	2019/4/1	5WW		FCP-II注聚剖面测井仪		7	10.8	927.71	929	S2	8					1.3	0	46.31	35.08			B1-1-P58	
11884	B1-1-P58	2019/4/1	5WW	S28	FCP-II注聚剖面测井仪		8	10.8	930.1	931.4	S2	8					1.3	1.1	43.82	33.2			B1-1-P58	
12314	B1-1-P58	2019/11/20	5WW	S28	FCP-II注聚剖面测井仪		7	11.5	930.1	931.4	S2	8					1.3	1.1	14.7	11.31			B1-1-P58	
12315	B1-1-P58	2019/11/20	5WW	S28	FCP-II注聚剖面测井仪		6	11.5	925.7	929	S2	8					3.3	2.4	44.47	34.21			B1-1-P58	
12316	B1-1-P58	2019/11/20	5WW	S24	FCP-II注聚剖面测井仪		5	11.5	916.4	919	S2	4					2.6	2.5	27.55	21.19			B1-1-P58	
12317	B1-1-P58	2019/11/20	5WW	S23～S24	FCP-II注聚剖面测井仪		4	11.5	915	916.4	S2	3					1.4	1.4	14.47	11.13			B1-1-P58	
